"Brand_Reg","count"
"aiwa",44
"akai",28
"altius",6
"aoa",5
"ark",1
"avelinnovations",3
"bauhn",69
"blaupunkt",69
"brooklyn",1
"caixun",55
"chiq",44
"coocaa",8
"decamax",1
"devanti",2
"dgtec",12
"digitech",9
"dynalink",1
"eko",98
"emete",55
"englaon",25
"ffalcon",26
"fpd",3
"furrion",4
"gorilla",2
"hisense",260
"hubbl",1
"hubblglass",2
"hyundai",7
"iluma",14
"jvc",131
"kodak",5
"kogan",752
"konic",16
"konka",34
"lg",621
"linsar",34
"loewe",27
"lsptv",1
"metz",7
"monster",4
"myvi",3
"palsonic",1
"panasonic",85
"philips",119
"polaroid",11
"prism",8
"qbell",9
"rca",1
"samsung",1102
"sharetv",1
"sharp",11
"shenzhenxinchaodatechnologycoltd",4
"signify",1
"skyworth",23
"smarttech",5
"smtv",5
"soniq",3
"sony",84
"sparkelectronics",25
"sphere",13
"stancash",1
"svision",5
"sylvox",130
"tavice",1
"tcl",91
"teac",14
"teco",9
"telefunken",17
"tenet",1
"thomson",2
"toshiba",50
"vdt",1
"veon",29
"walton",24
"wintal",1
"yokohama",5
"zentv",4
